modality,power_mode,p50_ms,p95_ms,mean_ms,avg_power_w,peak_power_w
audio,0,7.473,18.15,9.745,5.532,6.259
gesture,0,2.314,3.735,2.487,6.546,6.658
face_mediapipe_resnet18_randweights,0,19.852,22.663,19.796,7.809,8.133
audio,1,9.709,34.665,14.44,5.922,7.028
gesture,1,3.044,5.647,3.398,7.028,7.495
face_mediapipe_resnet18_randweights,1,18.51,21.156,19.001,7.86,8.2
audio,2,5.895,30.817,10.051,7.486,7.974
gesture,2,1.929,2.065,1.96,7.539,7.575
face_mediapipe_resnet18_randweights,2,15.552,17.373,15.829,8.867,9.275
audio,3,10.803,57.479,18.85,4.853,5.462
gesture,3,3.193,3.515,3.283,5.296,5.382
face_mediapipe_resnet18_randweights,3,25.243,40.28,28.251,6.343,6.589
